En	Gold Intent	Predict Intent	 Gold Slot	Predict Slot
which flights arrive in burbank from las vegas on saturday april twenty third in the afternoon	atis_flight	atis_flight	O O O O B-toloc.city_name O B-fromloc.city_name I-fromloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day	O O O O B-toloc.city_name O B-fromloc.city_name I-fromloc.city_name O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number O O B-arrive_time.period_of_day
show me the connecting flights between boston and denver and the types of aircraft used	atis_flight#atis_aircraft	atis_aircraft	O O O B-connect O O B-fromloc.city_name O B-toloc.city_name O O O O O O	O O O B-connect O O B-fromloc.city_name O B-toloc.city_name O O O O O O
what is the ground transportation between the charlotte airport charlotte airport and downtown charlotte	atis_ground_service	atis_ground_service	O O O O O O O B-airport_name I-airport_name B-city_name I-city_name O O B-city_name	O O O O O O O B-fromloc.airport_name I-fromloc.airport_name B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
show me all the flights from charlotte to minneapolis that leave at 2 pm or later on monday	atis_flight	atis_flight	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-depart_time.time I-depart_time.time O B-depart_time.time_relative O B-depart_date.day_name	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-depart_time.time I-depart_time.time B-or B-depart_date.date_relative O B-depart_date.day_name
show me flight us 1207 from indianapolis to charlotte on monday and flight us 1500 from charlotte to minneapolis on monday and flight twa 639 from minneapolis to indianapolis	atis_flight	atis_flight	O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O O B-flight_number O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name	O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name
i need to get from cincinnati to denver on june sixth by 6 pm	atis_flight	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
what's the fare for a taxi to denver	atis_ground_fare	atis_ground_fare	O O O O O B-transport_type O B-city_name	O O O O O B-transport_type O B-toloc.city_name
how many canadian airlines international flights use aircraft 320	atis_quantity	atis_quantity	O O B-airline_name I-airline_name I-airline_name O O O B-aircraft_code	O O B-airline_name I-airline_name I-airline_name O O O B-flight_number
which airport is closest to ontario california	atis_airport	atis_airport	O O O B-mod O B-city_name B-state_name	O O O B-mod O B-toloc.city_name B-toloc.state_name
show me the delta flights which serve a snack to coach passengers	atis_flight	atis_flight	O O O B-airline_name O O O O B-meal_description O B-compartment O	O O O B-airline_name O O O O B-meal_description O B-class_type O
what is meal code sb	atis_abbreviation	atis_abbreviation	O O O O B-meal_code	O O B-meal O B-meal_code
what meals are available on dl 468 which al arrives in san francisco at 950 am	atis_meal	atis_meal	O B-meal O O O B-airline_code B-flight_number O O O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time I-arrive_time.time	O B-meal O O O B-airline_code B-flight_number O B-airline_code O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time I-arrive_time.time
list the tower air flights on mondays	atis_flight	atis_flight	O O B-airline_name I-airline_name O O B-day_name	O O B-airline_name I-airline_name O O B-depart_date.day_name
how far is new york's la guardia from downtown	atis_distance	atis_distance	O O O B-city_name I-city_name B-airport_name I-airport_name O O	O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.airport_name I-fromloc.airport_name O O
how far is toronto international from downtown	atis_distance	atis_distance	O O O B-airport_name I-airport_name O O	O O O B-fromloc.airport_name I-fromloc.airport_name O O
how far is los angeles international from downtown	atis_distance	atis_distance	O O O B-airport_name I-airport_name I-airport_name O O	O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O
how far is san francisco international from downtown	atis_distance	atis_distance	O O O B-airport_name I-airport_name I-airport_name O O	O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O
how much is a limousine service in la guardia	atis_ground_fare	atis_ground_fare	O O O O B-transport_type O O B-airport_name I-airport_name	O O O O B-transport_type O O B-fromloc.airport_name I-fromloc.airport_name
at the charlotte airport how many different types of aircraft are there for us air	atis_aircraft	atis_capacity	O O B-city_name I-city_name O O O O O O O O O B-airline_name I-airline_name	O O B-airport_name I-airport_name O O O O O O O O O B-airline_name I-airline_name
what is the first class round trip airfare from india indianapolis to memphis	atis_airfare	atis_airfare	O O O B-class_type I-class_type B-round_trip I-round_trip O O O B-fromloc.city_name O B-toloc.city_name	O O O B-class_type I-class_type B-round_trip I-round_trip O O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name
list all sunday flights from cleveland to nashville and their fares	atis_flight#atis_airfare	atis_flight	O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name O O O	O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name O O O
list the airfare for american airlines flight 19 from jfk to lax	atis_airfare	atis_airfare	O O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.airport_code O B-toloc.airport_code	O O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.airport_code O B-toloc.airport_name
list the distance in miles from boston airport to downtown boston	atis_distance	atis_distance	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-city_name	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
list the distance in miles from new york's la guardia airport to downtown new york city	atis_distance	atis_distance	O O O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-city_name I-city_name I-city_name	O O O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name I-toloc.city_name
list the distance in miles from toronto international airport to downtown toronto	atis_distance	atis_distance	O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-city_name	O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
i would like to have the airline that flies toronto detroit and st. louis	atis_airline	atis_airline	O O O O O O O O O B-fromloc.city_name B-toloc.city_name O B-toloc.city_name I-toloc.city_name	O O O O O O O O O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is airline wn	atis_airline	atis_airline	O O O B-airline_code	O O O B-airport_code
what does not sa mean	atis_abbreviation	atis_abbreviation	O O B-mod B-days_code O	O O O B-days_code O
what ground transportation is available from dallas fort worth airport to downtown dallas	atis_ground_service	atis_ground_service	O O O O O O B-airport_name I-airport_name I-airport_name I-airport_name O O B-city_name	O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
what ground transportation is available between phoenix airport and downtown phoenix	atis_ground_service	atis_ground_service	O O O O O O B-airport_name I-airport_name O O B-city_name	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
what ground transportation is available between pittsburgh airport and downtown pittsburgh	atis_ground_service	atis_ground_service	O O O O O O B-airport_name I-airport_name O O B-city_name	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
what ground transportation is available between dca and downtown washington	atis_ground_service	atis_ground_service	O O O O O O B-airport_code O O B-city_name	O O O O O O B-fromloc.state_code O O B-toloc.city_name
what are the flights between dca and milwaukee	atis_flight	atis_flight	O O O O O B-airport_code O B-city_name	O O O O O B-fromloc.state_code O B-toloc.city_name
what ground transportation is available between milwaukee airport and downtown milwaukee	atis_ground_service	atis_ground_service	O O O O O O B-airport_name I-airport_name O O B-city_name	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
determine the type of aircraft used on a flight from cleveland to dallas that leaves before noon	atis_aircraft	atis_aircraft	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.period_of_day	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time
find a flight between st. petersburg and charlotte the flight should leave in the afternoon and arrive as soon after 5 pm as possible it should be a nonstop flight	atis_flight	atis_flight	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O O O B-depart_time.period_of_day O O O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O O O O O B-flight_stop O	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O O O B-arrive_time.period_of_day O O O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O O O O O B-flight_stop O
i need a round trip flight from san diego to washington dc and the fares	atis_flight#atis_airfare	atis_flight	O O O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O	O O O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O
i need a round trip from atlanta to washington dc and the fares leaving in the morning	atis_flight#atis_airfare	atis_flight	O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O B-depart_time.period_of_day	O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O B-depart_time.period_of_day
i need a round trip from phoenix to washington dc and the fare leaving in the morning	atis_flight#atis_airfare	atis_flight	O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O B-depart_time.period_of_day	O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O B-depart_time.period_of_day
get flight from toronto to san diego stopping at dtw	atis_flight	atis_flight	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.airport_code	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-airline_code
i need flight information for a flight departing from indianapolis to cleveland departing tuesday at noon	atis_flight	atis_flight	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_time.period_of_day	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_time.time
i need flight and airline information for a flight from denver to salt lake city on monday departing after 5 pm	atis_flight#atis_airline	atis_flight	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
i need flight and fare information for thursday departing prior to 9 am from oakland going to salt lake city	atis_flight#atis_airfare	atis_flight	O O O O O O O B-depart_date.day_name O B-depart_time.time_relative I-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name I-toloc.city_name	O O O O O O O B-depart_date.day_name O B-depart_time.time_relative O B-depart_time.time I-depart_time.time O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name I-toloc.city_name
i need flight and fare information departing from oakland to salt lake city on thursday before 8 am	atis_flight#atis_airfare	atis_flight	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
i need flight numbers and airlines for flights departing from oakland to salt lake city on thursday departing before 8 am	atis_airline#atis_flight_no	atis_flight_no	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
list airports in arizona nevada and california please	atis_airport	atis_airport	O O O B-state_name I-state_name O B-state_name O	O O O B-city_name B-fromloc.state_name O B-toloc.state_name O
list california nevada arizona airports	atis_airport	atis_airport	O B-state_name B-state_name B-state_name O	O B-city_name B-city_name B-state_name O
list the arizona airport	atis_airport	atis_airport	O O B-state_name O	O O B-airport_name I-airport_name
list california airports	atis_airport	atis_airport	O B-state_name O	O B-city_name O
list california airports	atis_airport	atis_airport	O B-state_name O	O B-city_name O
please list only the flights from cleveland to dallas that leave before noon	atis_flight	atis_flight	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.period_of_day	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time
what type of aircraft are flying from cleveland to dallas before noon	atis_aircraft	atis_aircraft	O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.period_of_day	O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time
i need a ticket from nashville to seattle	atis_flight	atis_airfare	O O O O O B-fromloc.city_name O B-toloc.city_name	O O O O O B-fromloc.city_name O B-toloc.city_name
i need a ticket from nashville tennessee to seattle	atis_flight	atis_airfare	O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name	O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name
i'd like a one way ticket from milwaukee to orlando either wednesday evening or thursday morning	atis_flight	atis_airfare	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name B-depart_time.period_of_day	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name B-depart_time.period_of_day
what airline is yx	atis_airline	atis_airline	O O O B-airline_code	O O O B-airport_code
what airline is as as in sam	atis_airline	atis_airline	O O O B-airline_code O O O	O O O B-airline_code B-airline_code O B-airline_code
list distance from airports to downtown in new york	atis_distance	atis_distance	O O O O O O O B-city_name I-city_name	O O O O O O O B-toloc.city_name I-toloc.city_name
list flights from indianapolis to memphis with fares on monday	atis_flight#atis_airfare	atis_flight	O O O B-fromloc.city_name O B-toloc.city_name O O O B-depart_date.day_name	O O O B-fromloc.city_name O B-toloc.city_name O O O B-depart_date.day_name
list flights and fares from tacoma to orlando round trip leaving saturday returning next saturday	atis_flight#atis_airfare	atis_flight#atis_airfare	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_date.day_name O B-return_date.date_relative B-return_date.day_name	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_date.day_name O B-depart_date.date_relative B-depart_date.day_name
what class is fare code q	atis_abbreviation	atis_abbreviation	O O O O O B-booking_class	O O O O O B-fare_basis_code
list flights from cincinnati to tampa before noon	atis_flight	atis_flight	O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.period_of_day	O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time
give me the meal flights departing early saturday morning from chicago to seattle nonstop	atis_flight	atis_flight	O O O B-meal O O B-depart_time.period_mod B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name B-flight_stop	O O O B-meal O O B-depart_time.period_of_day B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name B-flight_stop
cheapest round trip fare from or indianapolis to orlando on december twenty fifth	atis_airfare	atis_airfare	B-cost_relative B-round_trip I-round_trip O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number	B-cost_relative B-round_trip I-round_trip O O B-or B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
a flight from baltimore to san francisco arriving between 5 and 8 pm	atis_flight	atis_flight	O B-flight O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time
are snacks served on tower air	atis_meal	atis_flight	O B-meal_description O O B-airline_name I-airline_name	O B-meal_description O O B-airline_name I-airline_name
show me the cost of a first class ticket from detroit to las vegas and back	atis_airfare	atis_airfare	O O O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-round_trip
